Character,script,ep_number,Book,total_number
,"The two of them continue to fight. Lin metalbends Huan's Harmonic Convergence sculpture, which Suyin deflects and smashes it into a metal wall.",6,3,32
Huan,"[Alarmed.] My sculpture! [Dashes over to survey the damage.] Actually, it looks ... kinda better now.",6,3,32
,"Suyin metalbends three metal panels toward Lin, which she deflects. Lin begins to earthbend rocks from beneath Suyin and bends a large boulder toward her. Suyin curls a part of the metal wall to shield herself before rolling it out again, knocking Lin into the pavilion nearby, where she lands roughly on the stairs, grunting.",6,3,32
Suyin,You've got it out of your system?,6,3,32
Lin,[Angrily.] Not quite yet!,6,3,32
,"Lin earthbends a part of the staircase leading to the pavilion, while Suyin earthbends a boulder from the ground. The two of them begins to charge at each other, but Opal interfered by airbending both objects to the side.",6,3,32
Opal,[Angrily.] What are you two doing?! You're sisters! Why would you want to hurt each other?,6,3,32
,"Both Suyin and Lin pants in exhaustion, and suddenly, Lin faints and falls to the ground, but Korra saved her head from knocking the ground. The scene cuts to a view of Suyin's estate in Zaofu before shifting to Korra, Bolin and Mako standing outside of Lin's quarters.",6,3,32
Korra,"Uhh, Whose going to knock? [Pushes Bolin closer to the door outside Lin's quarters.]",6,3,32
Bolin,"No, no, no, no, no, no! Not me! You're the Avatar, why can't you do it?",6,3,32
Korra,"Uhh, I can. But I just thought that ...",6,3,32
Mako,"I'll do it. [Knocks on Lin's door.] Uhh, Chief, you've been sleeping for sixteen hours. We just wanted to make sure that you're okay.",6,3,32
Lin,"[Lin pulls her door open, and Mako fall down. Lin, in Metal Clan attire, yawns and stretches her arms. Cheerfully.] Good morning. [Korra and Bolin look surprised after what happened before. Mako gets back on his feet.]",6,3,32
,The scene shifts to a drink being placed in front of Lin at the dining table.,6,3,32
Lin,What's this?,6,3,32
Chef,"I call it the kalenutsco. It's a mixture of kale, coconut water, and walnuts.",6,3,32
Lin,"[She tries and finishes the drink.] Not bad! [She sees Opal standing by the door of the dining room. She walks away from the dining room before returning upon Lin's request.] Opal, don't go. Please sit down, I want to talk to you. [Opal walks into the dining room before sitting down.] Look, I'm just not really comfortable talking about these kinds of things, and ... well, I wanted to say that I'm sorry about the other night.",6,3,32
Opal,It's okay.,6,3,32
Lin,Your mother and I have a complicated relationship and ...,6,3,32
Opal,It's probably difficult for you to be here.,6,3,32
Lin,"[Smiles.] You're a smart young woman, and an excellent airbender. I think it would be a wonderful opportunity to train with the other airbenders at the Northern Air Temple.",6,3,32
Opal,"There's a part of me that wants to go, but ... I don't want to upset my mom.",6,3,32
Lin,"When I was younger, all I wanted to do was please my mother. I became a police chief because I thought it would make her happy ... but it didn't. You need to make your decisions based on what you want. Don't make the same mistakes as I did.",6,3,32
,"Opal smiles and hugs her aunt. The scene shifts to Opal opening Suyin's office door, in which Suyin and Baatar are having tea.",6,3,32
Opal,"Mom, Dad, can I talk to you?",6,3,32
,"Opal shuts the door behind her. The scene shifts to a statue of Toph with Lin standing in front of it, and Suyin approaching her.",6,3,32
Suyin,Opal has decided to go to the Northern Air Temple. I guess you had something to do with her decision.,6,3,32
Lin,"Well, I was just ...",6,3,32
Suyin,"It's okay. I'm glad she was honest with me. I want her to do what makes her happy. Mom gave us too much freedom, but I feel like I made the mistake of giving Opal too little. I think it's about time I let her choose her own way. [Closes her eyes and opens them.] I'm sorry I gave you such a hard time when we were younger. I can't imagine what my life would've been like if Mom hadn't sent me away, if I had stayed in the city ...",6,3,32
Lin,You'd probably be in prison.,6,3,32
Suyin,"You're probably right. Mako told me that you're an excellent police chief. Republic City is lucky to have you. I know Mom is proud. [Lin looks at Toph's statue for a moment.] Can we move on? I'd love for you to be part of my life again. There's plenty of space in the house, and the kids would love having their aunt around. I do need a new co-director for my new dance performance.",6,3,32
Lin,"Whoa! Slow it down. How about for now, I just promise not to show up at your house and attack you again?",6,3,32
Suyin,Deal!,6,3,32
,"The two of them shake hands and smile at each other. The scene shifts to Zaheer's gang sitting around a camp fire, and Zaheer meditating.",6,3,32
Ming-Hua,We should've grabbed one of those cops. Maybe they know something about where the Avatar is hiding.,6,3,32
Ghazan,She could be anywhere.,6,3,32
P'Li,We'll find her. It's just a matter of time.,6,3,32
Zaheer,[Opens his eyes wide.] She's with the Metal Clan.,6,3,32
,Fades to credits.,6,3,32
,The scene opens to the Northern Air Temple. Cut to a scenic view of a grass plain with hills and the Northern Air Temple in the background. Various colorful spirits mingle and fly about.,7,3,33
Tenzin,"[Off-screen.] His pupils pleaded with their master [Camera cuts to a close up of the air temple.] to eat something, but he refused, [Cut to Tenzin who tells the story excitedly with a wistful smile.] just like he had each day during summer. [Cut to the airbenders who, except for Otaku, listen with disinterest.] Instead he meditated and got his nourishment from the universe. So when Tang Xu completed the ninety-seventh day of his historic fast on which island?",7,3,33
Otaku,[Puts his hand up.] Oooh! Oooh!,7,3,33
Tenzin,"Anyone besides Otaku, who already studied this in his acolyte training?",7,3,33
Otaku,"Ooh, ooh, ooh!",7,3,33
Tenzin,And is answering every question.,7,3,33
Otaku,"Ooh! Ooh! Ooh! [Tenzin finally looks and glances at Otaku, prompting him to answer.] Whaletail Island.",7,3,33
Tenzin,"That is correct. Again. Now, on day ninety-eight ... [The recruits break out in laughter.]",7,3,33
Bumi,"[Speaking in a falsetto, as he capers about with his tunic over his head and Bum-Ju peeking out from the collar. Waves his hands around.] Greetings, air people. I come seeking boring stories to take back to the Spirit World.",7,3,33
,"Bum-Ju flies out of Bumi's tunic and he falls down on the ground. Everyone laughs again, including Jinora. Tenzin glares at his daughter, who quickly sits back in a disciplined posture and clears her throat. Cut to Tenzin and Oogi flying in the sky, showing this to the new recruits.",7,3,33
Kai,That is incredible! When do we get to fly around on our own sky bison like that?,7,3,33
Tenzin,"Only after many years of practice and intense training. [Recruits moan off-screen.] Besides, we don't have enough bison here for all of you.",7,3,33
Kai,What about those? [Tenzin raises his eyebrows with surprise.] It's a whole herd of bisons. [Cut to an overhead view of the students standing at the balcony as they view a herd of air bison flying by. Tenzin walks up to them.],7,3,33
Tenzin,"Actually, the plural of bison is bison.",7,3,33
Recruits,Whoa! Cool! Wow look at that!,7,3,33
Kai,Can we ride those?,7,3,33
Tenzin,"No, that's a wild herd. It would take many years to tame them. Now, let's get back to our lessons.",7,3,33
,"Scene shifts to two sky bison carrying the new airbenders, Kya, Pema, Rohan, Meelo, and Ikki.",7,3,33
Meelo,[Off-screen.] Dad! [Tenzin raises his head and camera pans up to reveal two sky bison with people on them flying toward the temple. Ikki waves excitedly to her father while Meelo points to the bison behind him.] We brought you more airbenders!,7,3,33
,The two bison land on the ground.,7,3,33
Tenzin,"Okay, everyone is dismissed. We'll pick this up ... [Sighs.] tomorrow. [As his wife and sister disembark.] How is everything in the city?",7,3,33
Pema,"Well, we had a little scare but everything is okay. Zaheer infiltrated the air temple.",7,3,33
Tenzin,[Alarmed.] What! Is everyone all right?,7,3,33
Kya,"Everyone's fine. I fought with him, but he got away. And he stole some old necklace that had something to do with ... Guru ... Lak ... shmir.",7,3,33
Tenzin,Guru Laghima?,7,3,33
Kya,"Right ... you know I can never keep all those gurus straight. There were like a million of them. Remember that long, boring story about that guy who never ate?",7,3,33
Tenzin,[Unamused.] Yes ... I remember.,7,3,33
Air Acolyte member,Avatar Korra is calling on the temple's radio.,7,3,33
,The scene shifts to Tenzin picking up the microphone.,7,3,33
Tenzin,[To Korra.] Are you all right? Where are you?,7,3,33
Korra,"With Beifong's sister in Zaofu. We're totally safe, unless we get caught in another fight between Su and Lin.",7,3,33
Tenzin,Lin willingly took you to her sister?,7,3,33
Korra,Not exactly. We got a call about an airbender and it turned out to be Su's daughter Opal. She'll be headed your way soon.,7,3,33
Tenzin,[Excitedly.] Really? That's wonderful!,7,3,33
Bolin,"[Shoulders Korra aside and grabs the microphone.] She is wonderful, and pretty, [Tenzin and Korra get annoyed.] and so smart, and she smells like flowers ... [Notices Korra glaring.] Sorry. Bolin, out. [Slides out of view.]",7,3,33
Korra,How's the training going?,7,3,33
Tenzin,"Not so well, I'm afraid. No one seems to be interested in the hard work of becoming part of the Air Nation.",7,3,33
Korra,"You need to give yourself a break. Let Jinora and the kids help you out, and what about Bumi? He was a naval commander, maybe he has some ideas about how you get people motivated.",7,3,33
Tenzin,[Alarmed and angry.] Bumi?! He's my worst student.,7,3,33
Korra,"Yeah, but he loves to organize people. If you ask him for help, you can trick him into taking more responsibility by making him think the whole thing with his idea.",7,3,33
Tenzin,That actually sounds like a good plan. You're turning into a pretty wise Avatar after all.,7,3,33
Korra,"Conflict resolution, that's what I do.",7,3,33
,"Scene shifts to Jinora and Kai looking over the mountain ranges, observing a herd of bison.",7,3,33
Kai,We should go down there. I want to fly one of those bisons.,7,3,33
Jinora,I don't know. We might get in trouble.,7,3,33
Kai,Come on? Let's have some fun. We'll be back before anyone realizes we're gone.,7,3,33
Jinora,[Smiles a little.] I guess it would be all right.,7,3,33
,Kai and Jinora pick up their gliders to open them and fly down to the lake where the herd of bison is. A group of several spirits look up and watch Kai and Jinora flying and a few accompany them. A little bird-like spirit squeaks and flies in front of Jinora along with other kinds of flying spirits. Jinora gives a smile at the bird-like creature. Cut to an aerial view of the pair flying over a little mountain ridge as they catch sight of bison below near a watering hole.,7,3,33
Kai,Look! Baby bisons. [Cut to a close up of three baby bison as one grooms itself and the other two play fight with each other.] How come they're on the ground?,7,3,33
Jinora,"[View changes to a frontal shot of the duo.] Air bison calves can't fly after a week or two after they're born. So the entire herd will stay near the ground, near the valley. [Kai angles his glider downwards and flies off-screen.]",7,3,33
Kai,Let's go see the babies.,7,3,33
Jinora,Be careful. The mothers are very protective.,7,3,33
,"Kai lands, folds his glider, and proceeds to pet one of the calves.",7,3,33
Kai,"Aww, look how cute!",7,3,33
Jinora,"Kai, get out of there!",7,3,33
,"Jinora notices an adult bison approaching and flies toward Kai. Kai, paralyzed with fear, watches the angry adult bison charge toward him. Jinora flies past and grabs him out of harm's way.",7,3,33
Kai,"Wow, you really saved me down there. You know, you're an incredible airbender.",7,3,33
Jinora,"Well, I've been training for a long time.",7,3,33
Kai,"Then, why don't you have tattoos like an airbending master?",7,3,33
Jinora,My dad says I'm not a master yet.,7,3,33
Kai,"You can do everything your dad can. [Jinora looks at Kai, wide-eyed.] Plus, you have all these spirit-y powers. If anyone's a master, you are.",7,3,33
,"The girl blushes. Cut back to an aerial view of the courtyards outside the air temple, where Bumi is talking to three airbenders.",7,3,33
Bumi,"[Chuckles.] And so, we bring the net down on [Cut to Bumi regaling his tale to three airbenders. He has removed his Air Nomad top and is now wearing just a singlet.] the head pirate, and he looks around real sad and says, [Does his best impression of a pirate.] ""I knew I should have followed my dreams and become a dentist.""",7,3,33
Yung,"[Laughs.] How come you grow up to be so cool, while Tenzin became [Glares.] such a stick-in-the-mud?",7,3,33
Bumi,"[Contently.] Well, I guess cool is something you're born with.",7,3,33
Tenzin,"[Walking out of the temple from a small passage way leading to the courtyard.] Bumi, can I talk to you? [The airbenders walk away.]",7,3,33
Bumi,"Let me guess, you want to criticize me for something?",7,3,33
Tenzin,"Actually, I need your help.",7,3,33
Bumi,[Begins to dig his ear with his pinky.] Oh yeah. With what?,7,3,33
Tenzin,"I don't think I'm doing well with the new airbenders, and everyone knows you're a natural leader. [Smiles awkwardly at his brother.]",7,3,33
Bumi,"[Removes his pinky from his ear with a pop.] True, I did win the Admiral Tung Natural Leadership Award, twice.",7,3,33
Tenzin,[Looks a bit skeptical but forces a pleasant smile.] What would you do if you were in charge? Help me be more like you.,7,3,33
Bumi,I'd love to. [Stands up before standing at attention.] You've got to use military discipline to whip these troops into shape. The only way to deal with new recruits is to [Punches a hand forward.] break them down so you can [Brings both hands up.] build them back up. Rule with an iron fist. [Clenches his hand into a fist.] Show them who the master is. [Waves his fist very close to Tenzin's face.],7,3,33
Tenzin,Thanks for the insight.,7,3,33
Bumi,My pleasure.,7,3,33
,"Cut to the temple at daybreak, where Tenzin barges into the dorm and uses airbending to blast a horn, waking all the airbenders.",7,3,33
Tenzin,[Sternly.] Dawn patrol! Everyone up!,7,3,33
Bumi,What are you doing? It's barely light out.,7,3,33
Tenzin,"I'm taking your advice. I'm going to break you down and build you back up! [Cut to Bumi, with dark circles, who stares at Tenzin with disbelief and regret.] Now get moving recruit! [Bumi sighs.]",7,3,33
,"Cut to the mountainside, where Tenzin leaps up the mountain. Jinora follows next, followed by Kai, who stumbles, and the remaining airbenders, who grunt as they prop themselves up the plateaued summit.",7,3,33
Tenzin,Nothing like a ten-mile hike first thing in the morning.,7,3,33
Yung,[Shivering.] Don't these robes come in a warm bison fur version?,7,3,33
Tenzin,No! Of course not. [Yung scowls and looks away. Bumi stands up.],7,3,33
Bumi,"[Slumps onto the floor.] If it weren't so cold, I'd go right back to sleep.",7,3,33
Tenzin,"Then, this is the perfect time to learn meditation and proper breathing technique. Airbenders are able to warm themselves only with their breathing. [Sits.] Everyone get into the lotus position. Ah, this is so much more refreshing than sleeping.",7,3,33
Bumi,[Crawls to his brother.] You know when I said that thing about an iron fist-,7,3,33
Tenzin,Hush! Meditation time. Focus.,7,3,33
,"Bumi sighs and returns to meditation. Cut to the temple, where there are multiple thin wooden posts. The airbenders all sport dark circles from fatigue.",7,3,33
Bumi,Can we go back to bed now?,7,3,33
Tenzin,"Now that we're refreshed and loose from our hike and meditation, it's time for a balancing exercise. [Leaps onto a post, standing on one leg.] The key is to maintain your heaven and earth connection. [Pulls out a feather and levitates it with airbending.] Now you try. [Cut to the students struggling.] Back up your posts! It's not hard if you concentrate. [Bumi struggles to balance, before falling off.] Get back up! [Switch to a close-up of Tenzin.] What's the matter, you can't handle it, soldier? [Bumi glares and slides slowly out of view on his back as the feather drifts down to rest on his face.]",7,3,33
Jinora,Don't you think you're a little hard on them.,7,3,33
Tenzin,"Don't worry, they can take it. You'll see. [To Otaku.] Ignore the lemurs digging in your ears. Concentrate on your breathing and, you won't even know they're there! [Otaku loses his balance and falls off, the lemurs take over his post. View changes to mid-morning at another courtyard. Cut to Tenzin shaving Daw's head, who looks sad as his hair drops off.] When the head is shaved, an airbender is able to feel the wind around him. It is both humbling and freeing.",7,3,33
Kai,"Hey, you want to go sneak away and check on the baby bisons?",7,3,33
Jinora,Shhh. You should be paying attention.,7,3,33
,"Cut to a slightly surprised Kai who shrugs and walks away. Tenzin polishes Daw's scalp, which shines.",7,3,33
Tenzin,"All right, who's next?",7,3,33
Yung,I'm not sure I want to shave my head.,7,3,33
Tenzin,"That's fine, shaving your head is a personal choice.",7,3,33
Daw,"[Shocked.] Wait, what?",7,3,33
Tenzin,Anyone else? [Everyone shakes their head.] Fine! Then we can get to our next training exercise: obstacle course. [Everyone moans.],7,3,33
Jinora,You're pushing too hard. Maybe we should give them a break.,7,3,33
Tenzin,"Jinora, I have this under control",7,3,33
,"Jinora glares at her father. Cut to the obstacle course, which is filled with spinning bells. A female airbender weaves through the bells.",7,3,33
Tenzin,"Concentrate! Remember, airbenders move like the wind.",7,3,33
,"The airbender weaves through the bells and smiles, before she is struck by a watermelon, plunging into the mud. Cut to Ikki and Meelo, where the former is loading a cannon with watermelons, while the latter smirks and continues firing the cannon. Cut to a rope obstacle, where Otaku is hanging for dear life, while the previous female airbender crosses before being struck by another watermelon. Kai runs through the rope, causing Otaku to lose his grip. Kai runs up the course and confronts the next obstacle: a cactus-ridden balancing obstacle.",7,3,33
Tenzin,"Stay light on your feet, and you'll never feel the stinging rash cactus.",7,3,33
,"Kai easily leaps through the balancing poles, before crashing into Yung and causing both to fall into the cactus patch. Cut to the cliff, where Kai leaps up with ease, overtaking Bumi and Otaku.",7,3,33
Tenzin,"Everyone is waiting for you, Bumi. If you don't make it over the next thirty seconds, they'll all have to run through the course again!",7,3,33
Airbenders,"You can do it, Bumi! Come on!",7,3,33
,"Bumi leaps to the next ledge, loses his grip, and plunges into the mud.",7,3,33
Tenzin,"Get back up the wall, recruit! You're letting your fellow airbenders down.",7,3,33
Bumi,[Angrily.] I'm finished! I've never wanted to be an airbender and I'm too old to be back in boot camp. [Walks away.] Count me out!,7,3,33
Tenzin,"[Furiously.] Fine, quit! We don't need your attitude in the new Air Nation.",7,3,33
Daw,"Master Tenzin, when do we get to go home and visit our families?",7,3,33
Tenzin,Go home? You just got here.,7,3,33
Female airbender,When's dinner? I'm starving.,7,3,33
Yung,Can I change out of my robe now? It's itchy.,7,3,33
Kai,This is just as bad as the Earth Queen's prison.,7,3,33
Tenzin,"[Snaps.] I'm tired of all this complaining! Jinora, take over!",7,3,33
Jinora,"Does this mean, I'm the master now?",7,3,33
Tenzin,"Yes, just lead them through some basic exercises.",7,3,33
Jinora,"Well, since I'm a master, when do you think I can get my tattoos?",7,3,33
Tenzin,What brought this on?,7,3,33
Jinora,"I was just talking to Kai, and he was asking me, so-",7,3,33
Tenzin,"Kai! [Kai awkwardly slides behind the airbenders.] What does he know about when you should get tattoos? The answer is ""no""! You're just a little girl.",7,3,33
Jinora,"[Angrily.] I'm not a little girl anymore. I can airbend just as well as you. I know everything about our culture and history, and I have a stronger connection with the spirits that you ever will. [Storms off.] Lead your own class!",7,3,33
Tenzin,"Ikki, Meelo, you're up. Just lead them through the Bagua circle.",7,3,33
Meelo,Look to your left! Look to your right! One of those people will not make it out of here alive.,7,3,33
,"Cut to Jinora, dejectedly looking at a flying bison herd, while Kai walks up to her.",7,3,33
Kai,Sorry what I've said got you into trouble with your dad.,7,3,33
Jinora,It's not your fault. He just can't believe that I'm growing up now and I don't need him telling me what to do like one of his recruits.,7,3,33
Kai,[Smiling.] I know something that'll cheer you up.,7,3,33
,"Jinora and Kai fly to the valley where they found the bison herd, only to find it empty.",7,3,33
Jinora,Where did all the spirits go?,7,3,33
Kai,Where are the babies?,7,3,33
,"Jinora is caught by a fired net. Kai turns and airbends the rustler away. He turns to help Jinora, but is blocked by an earth wall. A rustler fires a net at him. Cut to the rustlers' camp, where they throw Jinora and Kai onto the ground in front of their leader.",7,3,33
Ganbat,What are these kids doing in my camp?,7,3,33
Rustler #1,We caught them sneaking around. Thought they might tell someone we're here.,7,3,33
Ganbat,"They're the new airbenders. Must be living up in the temple. Hurry up and gather the rest of the gang and let's get out of here before someone comes looking for these kids. I'll take them to Ba Sing Se, with the rest of the fresh meat.",7,3,33
,"Jinora and Kai listen to the proposition with fear. Cut to the temple, where Tenzin is meditating.",7,3,33
Tenzin,Tattoos. How could she think? Focus. Breathe. Bumi ruins everything. Inhale. Focus.,7,3,33
Pema,Taking a little break from teaching?,7,3,33
Tenzin,"I've failed. Bumi quit, the rest of the airbenders want to go home. Can't they see that I'm trying to rebuild an entire culture?",7,3,33
Pema,"You know, just because these people can airbend, it doesn't automatically make them Air Nomads.",7,3,33
Tenzin,Tell me about it.,7,3,33
Pema,I remembered when I moved down my parents' house to become an Air Acolyte. That first night I was so scared and lonely and the bed was so hard.,7,3,33
Tenzin,It's actually better for your back. [Pema scowls.] Sorry.,7,3,33
Pema,"The point is: I really wanted to be there, but it still took time for me to adjust to feel like I was a part of it all. The people are probably feeling the same way. You have to be patient.",7,3,33
Tenzin,"Now I know how Korra feels when I'm talking to her. [Kisses Pema.] Thank you, Pema.",7,3,33
,"Cut to the outside, where Tenzin sees his brother talking to two airbenders.",7,3,33
Tenzin,"Bumi, I want to apologize for losing my patience.",7,3,33
Bumi,[Folds his arms.] I'm not talking to you. [Walks away.],7,3,33
Tenzin,Hey! Get back here. [Sighs; to the airbenders.] Where's Jinora?,7,3,33
Yung,I saw her fly off on her glider with her boyfriend.,7,3,33
Tenzin,[Alarmed.] What? [Narrows his eyes.] Her boyfriend? [Mutters.] Kai!,7,3,33
,"Cut to the rustlers' camp, where Jinora, Kai and the bison calves are locked in cages.",7,3,33
Jinora,How can you steal these bisons? They're endangered.,7,3,33
Ganbat,"Well, that's why they're worth so much. The Earth Queen and her fancy friends pay big money for bison steaks and other rare meats. I even heard she ate her dad's pet bear.",7,3,33
Jinora,You're disgusting. [Ganbat walks off.],7,3,33
Kai,"Hey, do that spirit beaming thing you did to find me. Go to the temple for help.",7,3,33
Jinora,"I can't. I'm all cramped in here and I need quiet and time to focus. But, maybe I can send a message. [Focuses.] Spirits, I need your help. [A spirit appears in front of her.] Go find Bum-Ju, tell him we're in trouble.",7,3,33
,"The spirit flies out of the cage. Cut to the temple, where Bum-Ju chittters to Bumi",7,3,33
Bumi,"No, I don't think I should apologize. Tenzin just wants to boss everybody around. I'm too old for that. [Bum-Ju chitters.] Well, let's face it. I'm just not cut out to be an airbender! [Bum-Ju chitters.] Well, that's your opinion. [Bum-Ju curls up and sleeps. The spirit that Jinora summoned flies next to Bum-Ju and the two spirits converse. Bum-Ju jumps onto Bumi.] Wait, Jinora sent this spirit? Is she in trouble?",7,3,33
,"Bum-Ju and the spirit fly off, while Bumi gives chase. Cut to the airbenders, who are being trained by Meelo.",7,3,33
Bumi,Jinora's in trouble. We have to go get her.,7,3,33
Yung,How do you know?,7,3,33
Bumi,Bum-Ju's friend told me.,7,3,33
Otaku,You're able to communicate with the spirits?,7,3,33
Bumi,"More or less, I get the gist. Let's go.",7,3,33
Daw,Shouldn't Master Tenzin be dealing with this? I don't want to get into trouble,7,3,33
Bumi,"Master Tenzin isn't here. It's up to us. Ikki and Meelo, grab some bison. Airbenders, move out!",7,3,33
,"The airbenders follow the spirit on two flying bison, where they land on a cliffside overlooking the camp. Cut to Bumi spying on the rustlers with a telescope.",7,3,33
Bumi,"Bison rustlers. They've got Kai and Jinora locked in crates. Looks like they're getting ready to leave, we'll have to move fast.",7,3,33
Daw,I don't know if I'm ready to get in a fight with some bison rustlers. I can tell without that telescope that they're mean-looking.,7,3,33
Bumi,"[To the airbenders.] Listen, this is what we've been training for.",7,3,33
Daw,We haven't been training that long.,7,3,33
Bumi,That's not important now. Remembered how we persevered together on that obstacle course?,7,3,33
Otaku,You actually quit.,7,3,33
Bumi,"[Annoyed.] Well, I'm not quitting now. I know we've had a tough time, me more than anyone, but we're airbenders, and there aren't many of us so we've got to stick together. They've got two of our own in cages out there, and we're not leaving until we bring them home.",7,3,33
Meelo,Leave no airbender behind!,7,3,33
,"The rustler closes and locks a cage with a bison calf. As the calves whimper, Kai takes two twigs and picks the lock.",7,3,33
Kai,In. Down. And twist.,7,3,33
,Kai manages to free himself and the calf tumbles free of the cage. He proceeds to free Jinora.,7,3,33
Jinora,Free the bison first.,7,3,33
Bison rustler #2,[Grabs Kai.] Hey! What are you doing out?,7,3,33
,"Kai airbends the rustler away, alerting the other rustlers, who run up to him. Meanwhile, the other airbenders charge into the camp. The rustlers, noticing the airbenders, defend themselves from the air blasts with an earth wall. Kai prepares to attack Ganbat, who is able to detect the attack and knocks Kai away with earthbending. Cut to Daw, who is nearly captured by a net, though he is able to feel the wind coming from the fired net, allowing him to narrowly dodge the attack before counter-attacking. Ganbat splits the airbender group with earthbending, but Meelo is able to leap up the earth wall and knock him off. Two airbenders, riding on Ikki's air scooter, sneak up another rustler and managed to ambush him. Bumi lets out a war cry and the airbenders charge the camp. While Meelo defeats the final rustler, Ganbat enters the truck and drives it away.",7,3,33
Jinora,Kai!,7,3,33
,"Kai grabs his glider and pursues the truck. Cut to Tenzin, riding on Oogi when three adult bison fly past them. Tenzin watches the bison approach a truck.",7,3,33
Tenzin,What's going on down there?,7,3,33
Jinora,Kai! Help!,7,3,33
Tenzin,I'm coming Jinora.,7,3,33
,"Kai catches up and enters the truck, knocking Ganbat down, though he is able to regain control and restrains Kai. The rustler looks in shock as he sees adult bison approaching the truck.",7,3,33
Ganbat,What the ...,7,3,33
,"Tenzin directs Oogi to knock against the truck. Kai leaps off the truck and onto Oogi. An adult bison stops in front of the truck and airbends, stunning Ganbat. Kai leaps off Oogi angrily.",7,3,33
Ganbat,You got me. I give up.,7,3,33
,"Kai aggressively sweeps a gust of air at Ganbat, flinging him against the truck.",7,3,33
Kai,"[Angrily.] You think you can kidnap Jinora, and all these baby bisons?!",7,3,33
,"Kai throws Ganbat upward before slamming him against the truck once more. Before he can attack, Tenzin stops him by grabbing his staff.",7,3,33
Tenzin,"Kai, that's enough! An airbender never attacks a defenseless opponent. [Smiles.] But that was very good technique.",7,3,33
,"Cut to the valley at evening, where the spirits roam about once more. Bumi locks the cage, which contains a sullen Ganbat.",7,3,33
Bumi,"Maybe you boys haven't heard, but there's some new airbenders on these parts. And you never mess with an airbender's bison.",7,3,33
Daw,"[To the other airbenders.] Without my shaved head, I'd never could have dodged that net. I really felt it coming at me. You guys should totally get shaved.",7,3,33
Tenzin,"[To Bumi.] I'm proud of you. Your connection with the spirits, natural leadership, you remind me of Dad.",7,3,33
Bumi,"I'm sorry I've been causing you so much trouble. I guess I was just scared of not being able to measure up as an airbender. You know, even though I'm Aang's son, I never really felt that I was a part of the Air Nation before.",7,3,33
Tenzin,[Reassuring him.] You are now.,7,3,33
,"Cut to the bison herd, where Ikki and Meelo are playing with the calves while Jinora and Kai snuggle the mother bison. The mother bison licks Jinora.",7,3,33
Kai,They're so friendly now.,7,3,33
Tenzin,The bison are the original airbenders. They recognize their own kind.,7,3,33
Jinora,[Hugs her father.] I'm sorry for running off.,7,3,33
Tenzin,I'm just lucky no one's hurt.,7,3,33
Jinora,I know.,7,3,33
Tenzin,But I also realized that perhaps I was too harsh on you.,7,3,33
Jinora,Does that mean I can get my airbender tattoos?,7,3,33
Tenzin,It's hard for me to believe that my little girl is grown up enough to have her tattoos. I'll promise I'll think about it. Fair enough?,7,3,33
Jinora,Yeah.,7,3,33
Kai,"Jinora, look. They're flying!",7,3,33
,"The calves awkwardly ascend, bleating and kicking their feet aimlessly.",7,3,33
Tenzin,[Watching the bison calves.] I guess everyone is growing up.,7,3,33
,Fades to credits.,7,3,33
,"The scene opens to Zaofu, where Korra is sparring with Wing. He fires two meteorites at her, but she dodges them and sends her metal cable at him. He dodges it twice, traps it on the ground, and bends it back at her. The impact of the cable knocks Korra to the ground.",8,3,34
Wing,[Fist pumps.] I can't believe I'm sparring with the Avatar! [Camera pans down to his twin brother.],8,3,34
Wei,[Referring to Bolin. Bored and frowning.] I can't believe I'm stuck with her friend.,8,3,34
,Camera angle changes to an aerial view of the practice area and Wing earthbends a trail toward Korra who jumps and dodges. Bolin stands in front of Wei.,8,3,34
Bolin,"Hang on, I think I got it. Let me just try this. [Attempts and fails to bend a meteorite.] Nope, okay maybe- [He is cut off as he gets nailed with a slab of metal by Wei.]",8,3,34
Wei,"Trial by fire. It's the best way to learn metalbending. [Bolin ducks as a meteorite is sent toward him. He quickly bends a pebble at his attacker, directly hitting his forehead.] Agh!",8,3,34
Mako,"[Approaches the scene with Asami.] Whoa. Nice shot, Bolin! [Wei grabs his forehead with both hands and makes little moans of pain.] But I thought you were supposed to be practicing metalbending, not earthbending.",8,3,34
Wei,"[Rubs his red forehead.] Yeah, cheater. [Crosses his arms.]",8,3,34
Bolin,"Mako, metalbending is extremely difficult. No one gets it right away, if they can get it at all! It's not normal! [Cut to Korra, as she is able to dodge Wing's attacks and knock him to the ground with her cables.]",8,3,34
Korra,[Jumps.] Woo-hoo! [Flexes her muscles.] Metalbending champion!,8,3,34
Bolin,Oh sure. She's the Avatar.,8,3,34
Asami,"Guys, it's time to get cleaned up. Tonight is Opal's farewell dinner.",8,3,34
Bolin,"[Sadly.] Oh, now I have to say bye to Opal? This is the worst day ever! [Slumps his shoulders and walks away sulkily.]",8,3,34
,"Cut to Opal's farewell dinner, as the chef walks over and gives Opal her plate.",8,3,34
Opal,Thanks for making my favorite meal.,8,3,34
Chef,"I'm really going to miss you, Opal. No one appreciates my raw veggie wraps like you do. [Walks away to serve the remaining plates of food.]",8,3,34
Bolin,"[To Opal.] Every time I eat raw kale, I'm going to think of you.",8,3,34
Opal,You're so sweet.,8,3,34
Bolin,"This stinks! We were just starting to get to know each other, and now you're off to the Northern Air Temple.",8,3,34
